number_of_patches,max_patch,second_max,total_patch_area,data_set_name,region,subregion,threshold,year,regsub,mean_max_patch,prop_max_patch,prop_second_max,delta_max_patch,delta_prop_max_patch,delta_year_patch,delta_year_prop_patch
5244,656275.9542435716,24111.890834727557,722879.2185886462,oceania_OC_5_32.5_perc_threshold_in_MOD44B.MRTWEB.A2009065.051.Percent_Tree_Cover,OC,5,32.5,2009,OC5,615810.0682763751,0.9078639105504912,0.03335535206255308,40465.88596719655,0.05597876509190898,62242.7768009922,0.009994127931744146
7722,653657.3892642037,31013.446886827136,706928.6384756669,oceania_OC_5_32.5_perc_threshold_in_MOD44B.MRTWEB.A2010065.051.Percent_Tree_Cover,OC,5,32.5,2010,OC5,615810.0682763751,0.9246440923282856,0.04387068962675028,37847.32098782866,0.053537682487213877,-2618.5649793678895,0.01678018177779439
6457,670923.078669226,34811.648003430695,718495.7151752533,oceania_OC_5_32.5_perc_threshold_in_MOD44B.MRTWEB.A2011065.051.Percent_Tree_Cover,OC,5,32.5,2011,OC5,615810.0682763751,0.933788559206058,0.04845073849179399,55113.01039285096,0.07670610865008146,17265.689405022305,0.009144466877772373
5554,602573.5216576697,70518.29284894207,723804.8061431039,oceania_OC_5_32.5_perc_threshold_in_MOD44B.MRTWEB.A2012065.051.Percent_Tree_Cover,OC,5,32.5,2012,OC5,615810.0682763751,0.8325083179104154,0.0974272238184059,-13236.546618705383,-0.018287453338750526,-68349.55701155635,-0.10128024129564261
6734,644486.5850340541,25429.330847712234,696353.2835372908,oceania_OC_5_32.5_perc_threshold_in_MOD44B.MRTWEB.A2013065.051.Percent_Tree_Cover,OC,5,32.5,2013,OC5,615810.0682763751,0.9255166885409551,0.03651785874913657,28676.516757679055,0.041180988782030185,41913.06337638444,0.0930083706305398
8811,535697.8543023904,69337.49135123589,651689.0954279079,oceania_OC_5_32.5_perc_threshold_in_MOD44B.MRTWEB.A2014065.051.Percent_Tree_Cover,OC,5,32.5,2014,OC5,615810.0682763751,0.8220144514626931,0.1063965805745268,-80112.2139739847,-0.12293011274246032,-108788.73073166376,-0.103502237078262
6566,566121.0461104244,63172.4431170987,684870.1127916503,oceania_OC_5_32.5_perc_threshold_in_MOD44B.MRTWEB.A2015065.051.Percent_Tree_Cover,OC,5,32.5,2015,OC5,615810.0682763751,0.8266108208501259,0.09224003491639718,-49689.02216595062,-0.07255247562696156,30423.191808034084,0.004596369387432797
6272,648472.1178464458,14877.574458884503,701507.3815624383,oceania_OC_5_35_perc_threshold_in_MOD44B.MRTWEB.A2000065.051.Percent_Tree_Cover,OC,5,35,2000,OC5,586142.6491515989,0.9243981387653123,0.02120800842572504,62329.468694846844,0.08885076669617217,NA,NA
6995,610412.0275288224,5420.091552756968,657253.1089988911,oceania_OC_5_35_perc_threshold_in_MOD44B.MRTWEB.A2001065.051.Percent_Tree_Cover,OC,5,35,2001,OC5,586142.6491515989,0.9287320503642568,0.008246581839700529,24269.378377223504,0.03692546759374013,-38060.09031762334,0.004333911598944473
6778,569355.5040984465,68073.94925999496,691063.4210165979,oceania_OC_5_35_perc_threshold_in_MOD44B.MRTWEB.A2002065.051.Percent_Tree_Cover,OC,5,35,2002,OC5,586142.6491515989,0.8238831441271897,0.09850608090333285,-16787.14505315246,-0.024291757518372932,-41056.523430375964,-0.10484890623706711
6760,653389.9390360027,15238.836205036847,698176.1986547709,oceania_OC_5_35_perc_threshold_in_MOD44B.MRTWEB.A2003065.051.Percent_Tree_Cover,OC,5,35,2003,OC5,586142.6491515989,0.9358524972563356,0.021826633784421,67247.28988440381,0.09631850815592723,84034.43493755627,0.11196935312914591
6233,571678.3588586947,68333.82464519162,699449.646309958,oceania_OC_5_35_perc_threshold_in_MOD44B.MRTWEB.A2004065.051.Percent_Tree_Cover,OC,5,35,2004,OC5,586142.6491515989,0.8173259674583608,0.09769656043961997,-14464.290292904247,-0.020679530498317618,-81711.58017730806,-0.11852652979797473
6754,582928.1661699265,71472.72307506707,697900.5909032709,oceania_OC_5_35_perc_threshold_in_MOD44B.MRTWEB.A2005065.051.Percent_Tree_Cover,OC,5,35,2005,OC5,586142.6491515989,0.8352595968079937,0.10241103676751752,-3214.482981672394,-0.0046059324545233435,11249.807311231853,0.01793362934963283
6537,556227.1357077345,70465.26894749055,680561.7751286643,oceania_OC_5_35_perc_threshold_in_MOD44B.MRTWEB.A2006065.051.Percent_Tree_Cover,OC,5,35,2006,OC5,586142.6491515989,0.8173058729350122,0.10353985710432924,-29915.513443864416,-0.043957087419740415,-26701.030462192022,-0.017953723872981442
7225,567520.3526965281,70825.94801340721,696845.9396766,oceania_OC_5_35_perc_threshold_in_MOD44B.MRTWEB.A2007065.051.Percent_Tree_Cover,OC,5,35,2007,OC5,586142.6491515989,0.8144129432108181,0.10163788576608036,-18622.296455070842,-0.026723692275100696,11293.216988793574,-0.002892929724194082
7662,576564.7153155234,16206.66807658375,644726.3579510568,oceania_OC_5_35_perc_threshold_in_MOD44B.MRTWEB.A2008065.051.Percent_Tree_Cover,OC,5,35,2008,OC5,586142.6491515989,0.8942781820613767,0.025137281695894385,-9577.933836075477,-0.014855812420193574,9044.362618995365,0.07986523885055852
5661,568762.9182992216,72050.15918867516,704809.4304583169,oceania_OC_5_35_perc_threshold_in_MOD44B.MRTWEB.A2009065.051.Percent_Tree_Cover,OC,5,35,2009,OC5,586142.6491515989,0.806974046770872,0.10222644033270532,-17379.730852377368,-0.024658766045561904,-7801.797016301891,-0.08730413529050463
7970,637338.5552422421,26430.666832813637,688574.7937304194,oceania_OC_5_35_perc_threshold_in_MOD44B.MRTWEB.A2010065.051.Percent_Tree_Cover,OC,5,35,2010,OC5,586142.6491515989,0.9255908886664292,0.03838459826509621,51195.90609064314,0.07435053759851483,68575.63694302051,0.11861684189555721
6988,651364.2511964898,30115.245303449912,697082.2165121897,oceania_OC_5_35_perc_threshold_in_MOD44B.MRTWEB.A2011065.051.Percent_Tree_Cover,OC,5,35,2011,OC5,586142.6491515989,0.9344152465336913,0.043201855663640064,65221.60204489087,0.09356371529777845,14025.695954247727,0.0088243578672621
5905,588907.6307489849,64331.10276584707,706535.6206566672,oceania_OC_5_35_perc_threshold_in_MOD44B.MRTWEB.A2012065.051.Percent_Tree_Cover,OC,5,35,2012,OC5,586142.6491515989,0.8335144238044833,0.09105146419377493,2764.9815973859513,0.0039134355247597095,-62456.620447504916,-0.10090082272920808
6698,557092.4158577928,69640.77641393316,678711.7653802228,oceania_OC_5_35_perc_threshold_in_MOD44B.MRTWEB.A2013065.051.Percent_Tree_Cover,OC,5,35,2013,OC5,586142.6491515989,0.8208085438826933,0.10260729217640646,-29050.233293806086,-0.04280201814025101,-31815.214891192038,-0.012705879921789953
8754,491939.1512793315,67659.66361245244,628180.2786371604,oceania_OC_5_35_perc_threshold_in_MOD44B.MRTWEB.A2014065.051.Percent_Tree_Cover,OC,5,35,2014,OC5,586142.6491515989,0.7831177896042764,0.10770739851820936,-94203.49787226744,-0.149962520435443,-65153.264578461356,-0.03769075427841695
6841,546329.146543396,61050.90437880714,659162.552131377,oceania_OC_5_35_perc_threshold_in_MOD44B.MRTWEB.A2015065.051.Percent_Tree_Cover,OC,5,35,2015,OC5,586142.6491515989,0.8288230949662743,0.09261889071428794,-39813.50260820286,-0.060400128131471394,54389.99526406458,0.045705305361997906
6653,617851.980118736,11519.296920256813,670707.1956418882,oceania_OC_5_40_perc_threshold_in_MOD44B.MRTWEB.A2000065.051.Percent_Tree_Cover,OC,5,40,2000,OC5,536133.5716573843,0.9211947987637615,0.01717485214875692,81718.40846135176,0.12183917064307717,NA,NA
7447,503134.4779885234,70038.16433470086,629414.9780566726,oceania_OC_5_40_perc_threshold_in_MOD44B.MRTWEB.A2001065.051.Percent_Tree_Cover,OC,5,40,2001,OC5,536133.5716573843,0.799368454087251,0.11127502010032342,-32999.09366886091,-0.0524281989137692,-114717.50213021267,-0.12182634467651055
7285,545583.8985214063,64795.207573547326,663398.6374445338,oceania_OC_5_40_perc_threshold_in_MOD44B.MRTWEB.A2002065.051.Percent_Tree_Cover,OC,5,40,2002,OC5,536133.5716573843,0.8224073245357278,0.09767160183376893,9450.326864022063,0.014245321486377333,42449.42053288297,0.023038870448476856
7619,545558.5519316428,63163.4115734448,665275.7418245333,oceania_OC_5_40_perc_threshold_in_MOD44B.MRTWEB.A2003065.051.Percent_Tree_Cover,OC,5,40,2003,OC5,536133.5716573843,0.8200487672005543,0.09494320565517353,9424.98027425853,0.014167028318829596,-25.346589763532393,-0.002358557335173539
6423,543355.4379603491,60692.84737395118,668150.9774477412,oceania_OC_5_40_perc_threshold_in_MOD44B.MRTWEB.A2004065.051.Percent_Tree_Cover,OC,5,40,2004,OC5,536133.5716573843,0.813222544455302,0.09083702549652892,7221.86630296486,0.010808734173452154,-2203.113971293671,-0.006826222745252353
6959,555931.7168282195,68748.6929730311,669926.9868062452,oceania_OC_5_40_perc_threshold_in_MOD44B.MRTWEB.A2005065.051.Percent_Tree_Cover,OC,5,40,2005,OC5,536133.5716573843,0.8298392627508897,0.10262117264566092,19798.145170835196,0.029552690906242254,12576.278867870336,0.01661671829558775
